time_s;speed_kmh;soc_%;P_bar
193.100000;0.505051;97.184434;142.871187
193.200000;1.010101;97.184265;142.870120
193.300000;1.515152;97.184011;142.869053
193.400000;2.020202;97.183673;142.867985
193.500000;2.525253;97.183249;142.866918
193.600000;3.030303;97.182741;142.865850
193.700000;3.535354;97.182148;142.864783
193.800000;4.040404;97.181471;142.863715
193.900000;4.545455;97.180709;142.862648
194.000000;5.050505;97.179862;142.861580
194.100000;5.555556;97.178930;142.860513
194.200000;6.060606;97.177922;142.859445
194.300000;6.565657;97.176862;142.858378
194.400000;7.070707;97.175754;142.857310
194.500000;7.575758;97.174567;142.856243
194.600000;8.080808;97.173301;142.855175
194.700000;8.585859;97.171956;142.854107
194.800000;9.090909;97.170531;142.853040
194.900000;9.595960;97.169027;142.851972
195.000000;10.101010;97.167443;142.850904
195.100000;10.606061;97.165780;142.849837
195.200000;11.111111;97.164045;142.848769
195.300000;11.616162;97.162242;142.847701
195.400000;12.121212;97.160372;142.846634
195.500000;12.626263;97.158436;142.845566
195.600000;13.131313;97.156433;142.844498
195.700000;13.636364;97.154366;142.843430
195.800000;14.141414;97.152234;142.842362
195.900000;14.646465;97.150807;142.817980
196.000000;15.151515;97.149339;142.792788
196.100000;15.656566;97.147831;142.766784
196.200000;16.161616;97.146283;142.739968
196.300000;16.666667;97.144695;142.712339
196.400000;17.171717;97.143068;142.683897
196.500000;17.676768;97.141402;142.654640
196.600000;18.181818;97.139697;142.624568
196.700000;18.686869;97.137955;142.593680
196.800000;19.191919;97.136175;142.561974
196.900000;19.696970;97.134358;142.529451
197.000000;20.202020;97.132503;142.496059
197.100000;20.707071;97.130613;142.461720
197.200000;21.212121;97.128686;142.426425
197.300000;21.717172;97.126723;142.390166
197.400000;22.222222;97.124724;142.352934
197.500000;22.727273;97.122691;142.314721
197.600000;23.232323;97.120622;142.275518
197.700000;23.737374;97.118519;142.235316
197.800000;24.242424;97.116382;142.194105
197.900000;24.747475;97.114210;142.151878
198.000000;25.252525;97.112005;142.108624
198.100000;25.757576;97.109767;142.064334
198.200000;26.262626;97.107495;142.018998
198.300000;26.767677;97.105191;141.972607
198.400000;27.272727;97.102870;141.925152
198.500000;27.777778;97.100505;141.876621
198.600000;28.282828;97.098097;141.827004
198.700000;28.787879;97.095644;141.776293
198.800000;29.292929;97.093148;141.724475
198.900000;29.797980;97.090607;141.671540
199.000000;30.303030;97.088022;141.617479
199.100000;30.808081;97.085393;141.562278
199.200000;31.313131;97.082720;141.505929
199.300000;31.818182;97.080003;141.448418
199.400000;32.323232;97.077241;141.389736
199.500000;32.828283;97.074434;141.329870
199.600000;33.333333;97.071583;141.268808
199.700000;33.838384;97.068688;141.206538
199.800000;34.343434;97.065748;141.143050
199.900000;34.848485;97.062763;141.078329
200.000000;35.353535;97.058101;141.077330
200.100000;35.858586;97.053371;141.076332
200.200000;36.363636;97.048572;141.075333
200.300000;36.868687;97.043703;141.074334
200.400000;37.373737;97.038765;141.073336
200.500000;37.878788;97.033757;141.072337
200.600000;38.383838;97.028679;141.071339
200.700000;38.888889;97.023532;141.070340
200.800000;39.393939;97.018315;141.069341
200.900000;39.898990;97.013028;141.068342
201.000000;40.404040;97.007670;141.067344
201.100000;40.909091;97.002242;141.066345
201.200000;41.414141;96.996744;141.065346
201.300000;41.919192;96.991175;141.064347
201.400000;42.424242;96.985535;141.063348
201.500000;42.929293;96.979824;141.062349
201.600000;43.434343;96.974042;141.061350
201.700000;43.939394;96.968189;141.060351
201.800000;44.444444;96.962265;141.059352
201.900000;44.949495;96.956269;141.058353
202.000000;45.454545;96.950202;141.057354
202.100000;45.959596;96.944062;141.056355
202.200000;46.464646;96.937851;141.055356
